19	-5.9	-21.4	0.5
-53.76	2.4	14.6	1
20.09	-13	-10	0.5
16.83	7.8	-6.1	0.5
-14.66	0.5	3	0
12.49	-7	7.4	0
5.97	-5	8.3	0
-32.04	3.5	18.5	0
-41.81	5.4	7.6	0.5
-3.8	21.9	22	1
-0.54	-1.2	-8.5	0
-29.86	-7.3	-0.3	1
-10.32	-2	14.6	0.5
20.09	-8.7	9.8	0
30.95	6.6	-6.7	0.5
-0.54	-0.3	-2.4	0
-47.24	3.2	3	0.5
-5.97	-13.1	9	0.5
55.93	-3	-2.3	0.5
-22.26	-0.9	-13.9	0.5
-48.33	3.7	6.7	0.5
37.47	1.9	-4.5	0.5
-54.84	3.8	3.7	1
2.71	-1.2	8.5	0
-47.24	-6.7	12.9	1
-15.75	-12.5	-12.5	1
4.89	11.4	-5.3	0
-22.26	14.1	5.1	0.5
24.43	5.4	-3.5	0.5
-33.12	-8.8	7.7	1
-29.86	-8.4	11.3	0.5
-5.97	6.9	11.1	0
-51.58	4.6	2.8	0.5
-0.54	-0.2	3.4	0
0.54	3.2	7.1	0
-45.07	3.5	3.6	0.5
-39.64	7.8	14.8	0
-10.32	-9.9	-8.6	0.5
-21.18	-10.3	4.6	0.5
-52.67	-0.6	10.8	1
-41.81	2.6	8.4	0.5
30.95	-0.7	-9.7	0
0.54	-3.4	-0.2	0
-16.83	2.1	-10.9	0
-41.81	-0.2	4.7	0.5
3.8	4.2	0.7	0
17.92	-11.7	-3.4	0.5
37.47	-9.2	-7.8	0
-57.01	-0.1	14	1
-42.9	-0.1	-2.9	0.5
24.43	5.9	-7.3	0.5
-23.35	-11	1.6	0.5
-45.07	-2.5	0.5	0.5
40.72	-4.4	-11.2	0
-10.32	4.3	10.7	0
28.78	2.4	-16.2	0
-0.54	-0.7	0	0
43.98	-6.4	-12.6	0.5
-2.71	-6.1	-14.8	0.5
25.52	-5.1	-2.7	0
-49.41	-10.8	9.5	1
-4.89	-7.6	-12.6	0.5
9.23	6.2	3.2	0.5
12.49	-6.6	11.8	0
-9.23	-7.4	-8.5	0.5
-27.69	-8.2	4.8	0.5
-26.61	-11.2	-5.5	1
7.06	-10.2	11.6	0.5
7.06	4.1	2	0
21.18	12.7	-3	0.5
-50.5	-0.1	7.7	1
16.83	-3.8	7.1	0
-48.33	-0.1	-1	1
46.15	0.4	8.7	0.5
-14.66	-9.3	16.4	0.5
8.14	13.1	0	0.5
-41.81	-4.6	5.4	0.5
8.14	8.6	-22.5	0.5
34.21	3	-3.2	0.5
-49.41	-1.5	1.7	1
-28.78	-7.2	8.4	0.5
32.04	2.8	-11.7	0
36.38	-7.5	-2.7	0.5
-48.33	1.3	10.7	0.5
-53.76	1.2	3	1
37.47	-7.4	-10	0
0.54	3.2	13.7	0
3.8	5.7	8.2	0.5
-0.54	0	0	0
51.58	-1.5	5	0.5
21.18	-8.1	0	0
-52.67	1.7	-0.2	1
53.76	-2.8	4.5	0.5
-17.92	-9.9	12	0.5
46.15	0.4	-2.1	0.5
41.81	0.1	-2.1	0
-43.98	2.7	-6.1	0.5
42.9	0.1	3.8	0
2.71	-2.8	-9.3	0
45.07	-7.2	-14.3	0.5
42.9	2.5	-10.2	0.5
-49.41	-3	10.4	1
9.23	0.1	7.7	0
1.63	1.5	-0.6	0
-7.06	-12.9	0.3	0.5
48.33	0.6	-7.7	0.5
55.93	-0.6	-7.4	0.5
0.54	0.3	5.7	0
-15.75	13.1	3.1	0.5
47.24	1.6	-0.4	0.5
0.54	-5.2	-12.3	0
29.86	-4.2	-4.6	0
-19	-10.3	16.6	0.5
17.92	5	0	0.5
16.83	2.7	-17.5	0.5
20.09	8.7	-3.4	0.5
-39.64	4.2	17	0.5
-0.54	-13.9	13.7	0.5
-45.07	5.4	7.5	0
28.78	6.3	-10.2	0.5
53.76	1.5	-11.3	0.5
-34.21	12.6	2.7	0.5
2.71	0.1	-9.6	0
15.75	6.7	-0.1	0.5
-50.5	1.8	8.8	1
-47.24	6.2	12.9	0.5
15.75	9	-10.6	0
12.49	5.2	5.7	0
40.72	0.8	-2.7	0.5
35.29	4.5	-6.8	0.5
37.47	-10.4	-12.5	0.5
30.95	4.8	-2.8	0.5
48.33	-3	-13.7	0.5
-12.49	0.2	9.1	0
13.57	-2.2	4.2	0
-16.83	-9.4	-7.6	1
-3.8	-6.8	18	0.5
-40.72	-3.2	3.7	0.5
47.24	-0.6	-12.4	0
-0.54	0.7	9.7	0
-0.54	-0.3	-2	0
46.15	-0.3	-3.1	0.5
0.54	1.3	0.7	0
5.97	-3.5	10	0
-57.01	3.1	4.5	1
-47.24	-2.3	11.7	0.5
-42.9	-5.5	-0.2	1
-12.49	-10.4	-6	0.5
42.9	-5.9	-10.5	0.5
46.15	-4.7	-5.3	0.5
-0.54	-1.6	-12.8	0
21.18	-5.3	2.9	0
-20.09	-10.8	1.2	0.5
-23.35	2.2	-12.3	0.5
-40.72	-1.2	5.6	0.5
-0.54	-0.3	-2.3	0
-28.78	-8.1	17.9	0.5
-41.81	1.7	2.7	0
-12.49	1.8	10.5	0
-0.54	0	0	0
-35.29	-5.3	12.2	0.5
25.52	5.9	-14	0
9.23	7.2	6	0.5
45.07	0.9	-0.5	0.5
1.63	8.7	3.9	0
-24.43	-5.7	-9.1	1
-20.09	16	26.8	1
-27.69	6.2	-3.3	0.5
29.86	4.1	-6	0.5
-28.78	8.9	24.7	0.5
46.15	1.4	-2.6	0.5
30.95	-2.7	-6.6	0
-37.47	-12.1	-0.9	1
-38.55	-5.4	11.4	1
3.8	-11.9	-4	0.5
-0.54	-0.3	-2.3	0
-42.9	0.7	6.3	1
43.98	1.1	4.3	0.5
-26.61	-13.2	5.7	1
20.09	-1.3	-16.6	0
-17.92	13.3	0.3	0.5
48.33	-2.2	-14.2	0.5
